,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD,percentage,change,Sentiment_1,Sentiment_total,Sentiment_component
1360,2018/1/7 21:00,ETHUSD,1091.47,1091.5,1082.43,1088,1115.79,1215695,-0.003179199,-1,0.418165194,0.334443838,-0.8757
1361,2018/1/7 22:00,ETHUSD,1088,1091.5,1077.78,1089.65,1717.37,1866631.14,0.001516544,1,-0.024894558,-0.024543598,0.5488
1362,2018/1/7 23:00,ETHUSD,1089.65,1118.72,1088,1117.96,4339.38,4750755.86,0.02598082,1,-1,-0.292669614,-0.0484
1363,2018/1/8 00:00,ETHUSD,1117.96,1190,1109.49,1175,6025.26,6945986.86,0.051021503,1,0.055988661,0.043494424,-0.34
1364,2018/1/8 01:00,ETHUSD,1175,1181.88,1145.02,1159,3067.36,3565075.16,-0.013617021,-1,0.514167272,0.569332698,0.0711
1365,2018/1/8 02:00,ETHUSD,1159,1174.59,1138,1167,1870.21,2166140.6,0.006902502,1,1,0.657830835,1.2031
1366,2018/1/8 03:00,ETHUSD,1167,1198,1162.3,1195.06,2977.12,3507520.85,0.024044559,1,-1,-0.567754011,0.9306
1367,2018/1/8 04:00,ETHUSD,1195.06,1228,1189.5,1228,2220.73,2682696.39,0.02756347,1,0.228131837,0.26726898,-0.7643
1368,2018/1/8 05:00,ETHUSD,1228,1229.76,1180.77,1196.7,2544.65,3060948.96,-0.025488599,-1,-0.128010414,-0.122956213,0.6361
1369,2018/1/8 06:00,ETHUSD,1196.7,1219.68,1192.08,1219,2956.56,3584181.44,0.018634578,1,-0.65287279,-0.785142815,-0.236
1370,2018/1/8 07:00,ETHUSD,1219,1224.5,1185.01,1187.97,5407.03,6523405.14,-0.025455291,-1,0.486760465,0.531698679,-1.7465
1371,2018/1/8 08:00,ETHUSD,1187.97,1187.99,1140,1149.3,10532.79,12259585.85,-0.032551327,-1,0.368944594,0.374226809,1.114
1372,2018/1/8 09:00,ETHUSD,1149.3,1152,1105.51,1124.43,4074.73,4605494.49,-0.021639259,-1,0.741305259,1.062906377,0.7418
1373,2018/1/8 10:00,ETHUSD,1124.43,1144,1117.3,1139.98,4073.09,4612926.79,0.013829229,1,1,1.333394514,2.8306
1374,2018/1/8 11:00,ETHUSD,1139.98,1147.78,1103,1132.49,4303.77,4856344.4,-0.006570291,-1,0.533065099,0.351606261,2.7939
1375,2018/1/8 12:00,ETHUSD,1132.49,1138.9,1126.78,1134,3011.15,3410011.51,0.001333345,1,1,1.316220548,0.5167
1376,2018/1/8 13:00,ETHUSD,1134,1135.99,1056.3,1074.39,8349.04,9214183.5,-0.052566138,-1,1,0.616212139,2.7293
1377,2018/1/8 14:00,ETHUSD,1074.39,1080.58,1011.78,1022.37,10915.93,11428464.4,-0.048418172,-1,-0.097512607,-0.091487169,0.8519
1378,2018/1/8 15:00,ETHUSD,1022.37,1095.98,964,1064.25,9362.31,9708695.29,0.040963643,1,0,0,-0.1721
1379,2018/1/8 16:00,ETHUSD,1064.25,1120,1064.25,1108.98,7414.94,8131721.27,0.042029598,1,0,0,0
1380,2018/1/8 17:00,ETHUSD,1108.98,1112.63,1065,1093,3078.87,3362613.28,-0.014409638,-1,0.418295187,0.484487465,0
1381,2018/1/8 18:00,ETHUSD,1093,1126,1091.18,1125.91,5716.17,6365894.87,0.03010979,1,1,0.582550759,1.1002
1382,2018/1/8 19:00,ETHUSD,1125.91,1156.64,1122.46,1146.97,3822.03,4359901.32,0.01870487,1,-0.054057929,-0.044428185,0.7906
1383,2018/1/8 20:00,ETHUSD,1146.97,1149.98,1115,1134.96,2253.67,2542172.86,-0.010471067,-1,0,0,-0.0754
1384,2018/1/8 21:00,ETHUSD,1134.96,1175.26,1130.23,1161.62,1882.06,2183911.43,0.023489815,1,0.392134716,0.258260414,0
1385,2018/1/8 22:00,ETHUSD,1161.62,1163.02,1125,1125.7,1499.19,1715845.84,-0.030922333,-1,0,0,0.3819
1386,2018/1/8 23:00,ETHUSD,1125.7,1145.95,1100,1130,2118.93,2379479.44,0.003819845,1,1,0.40139015,0
1387,2018/1/9 00:00,ETHUSD,1130,1174.4,1130,1174.4,1056.73,1214838.08,0.039292035,1,1,0.46115207,0.4939
1388,2018/1/9 01:00,ETHUSD,1174.4,1177,1147.4,1170.31,1799.22,2097027.68,-0.003482629,-1,0.279528812,0.133826954,0.5859
1389,2018/1/9 02:00,ETHUSD,1170.31,1185,1159.97,1185,1089.27,1278650.52,0.01255223,1,0,0,0.1756
1390,2018/1/9 03:00,ETHUSD,1185,1203.97,1183.85,1200.92,2177.43,2606653.53,0.013434599,1,1,0.60273001,0
1391,2018/1/9 04:00,ETHUSD,1200.92,1212,1198.46,1203.51,2141.15,2578589.24,0.00215668,1,1,1.285257817,0.8271
1392,2018/1/9 05:00,ETHUSD,1203.51,1210.68,1166.36,1189.55,3241.23,3865432.63,-0.011599405,-1,0.657800626,0.900235972,2.6156
1393,2018/1/9 06:00,ETHUSD,1189.55,1205,1179.23,1198.01,2349.57,2802283.97,0.007111933,1,1,2.029318615,2.3544
1394,2018/1/9 07:00,ETHUSD,1198.01,1218.99,1195.02,1211,1895.38,2287980.98,0.010842981,1,1,0.614158084,6.6089
1395,2018/1/9 08:00,ETHUSD,1211,1245,1196,1230,9844.09,12087492.4,0.015689513,1,0.820424116,1.199492634,0.8481
1396,2018/1/9 09:00,ETHUSD,1230,1241.1,1195.02,1215,5567.3,6839156.89,-0.012195122,-1,1,1.725886725,3.1067
1397,2018/1/9 10:00,ETHUSD,1215,1221.81,1151.5,1192.3,6245.26,7435033.86,-0.018683128,-1,1,1.780125388,4.6175
1398,2018/1/9 11:00,ETHUSD,1192.3,1224.45,1181.61,1216,2016.56,2433239.54,0.019877548,1,0.941189189,1.111173515,4.9306
1399,2018/1/9 12:00,ETHUSD,1216,1218,1186.65,1203,2683.07,3240479.02,-0.010690789,-1,1,1.598680256,2.1765
1400,2018/1/9 13:00,ETHUSD,1203,1205.16,1115,1129.03,15537.25,17868139.13,-0.061487947,-1,0.939680042,1.287829026,3.9465
1401,2018/1/9 14:00,ETHUSD,1129.03,1196.5,1129,1193.84,7604.11,8845231.06,0.057403258,1,1,1.413496019,2.8664
1402,2018/1/9 15:00,ETHUSD,1193.84,1208.3,1180.03,1194,5736.66,6863586.11,0.000134021,1,0.736498749,0.78096949,3.1103
1403,2018/1/9 16:00,ETHUSD,1194,1211.97,1190,1206.12,4203.54,5031745.75,0.010150754,1,0.311367144,0.366558063,1.5015
1404,2018/1/9 17:00,ETHUSD,1206.12,1209.99,1190.02,1198,1891.69,2263635.84,-0.006732332,-1,0.271890475,0.252483048,0.8675
1405,2018/1/9 18:00,ETHUSD,1198,1211.56,1195.96,1199.65,4560.99,5478522.82,0.001377295,1,-1,-0.163733192,0.4667
1406,2018/1/9 19:00,ETHUSD,1199.65,1210.93,1193,1210.93,3078.31,3690565.09,0.009402742,1,1,1.122719364,-0.1779
1407,2018/1/9 20:00,ETHUSD,1210.93,1236.71,1205.01,1236,4527.85,5548833.06,0.020703096,1,0.398759462,0.393797758,2.0732
1408,2018/1/9 21:00,ETHUSD,1236,1242,1227.41,1241.49,3000.34,3710158.22,0.004441748,1,-0.294995069,-0.265798587,0.7586
1409,2018/1/9 22:00,ETHUSD,1241.49,1301,1240.93,1267,6492.41,8269635.71,0.02054789,1,0.713165783,0.438358206,-0.4786
1410,2018/1/9 23:00,ETHUSD,1267,1299.38,1259.71,1287.47,4145.97,5325090.92,0.016156275,1,0.345194805,0.192505659,0.6186
1411,2018/1/10 00:00,ETHUSD,1287.47,1287.69,1230.02,1266,2667.04,3359987.57,-0.016676117,-1,1,0.861581082,0.2658
1412,2018/1/10 01:00,ETHUSD,1266,1285.95,1255,1264.86,2639.13,3361974.35,-0.000900474,-1,1,0.573180513,1.3669
1413,2018/1/10 02:00,ETHUSD,1264.86,1311.52,1261.39,1296.26,2670.18,3435352.98,0.024824882,1,0.399626415,0.251270793,0.7739
1414,2018/1/10 03:00,ETHUSD,1296.26,1353,1292.61,1343.5,4301.55,5725167.3,0.036443306,1,1,0.27626717,0.3637
1415,2018/1/10 04:00,ETHUSD,1343.5,1378.99,1312.42,1377.98,4671.38,6334494.46,0.02566431,1,0,0,0.3182
1416,2018/1/10 05:00,ETHUSD,1377.98,1378.99,1320,1346.57,4825.18,6564749.49,-0.022794235,-1,1,0.90918555,0
1417,2018/1/10 06:00,ETHUSD,1346.57,1378.94,1320,1357.91,3795.09,5167641.98,0.008421397,1,0,0,1.4823
1418,2018/1/10 07:00,ETHUSD,1357.91,1365,1312,1313.99,4626.68,6210362.65,-0.032343822,-1,1,0.989652712,0
1419,2018/1/10 08:00,ETHUSD,1313.99,1321.99,1220,1305,8065.4,10293409.57,-0.006841757,-1,0.137805443,0.118711335,1.6903
1420,2018/1/10 09:00,ETHUSD,1305,1314.34,1247.9,1271.57,4828.37,6213633.66,-0.025616858,-1,0.749862678,0.862622951,0.2081
1421,2018/1/10 10:00,ETHUSD,1271.57,1294.71,1262,1282,3391.8,4336859.76,0.008202458,1,1,0.55204434,1.7747
1422,2018/1/10 11:00,ETHUSD,1282,1352.5,1271.02,1338.86,5542.46,7277179.62,0.044352574,1,1,1.2313934,0.7368
1423,2018/1/10 12:00,ETHUSD,1338.86,1350.98,1311.75,1318.86,4685.42,6269309.02,-0.014938082,-1,1,1.115076015,2.426
1424,2018/1/10 13:00,ETHUSD,1318.86,1351,1318.86,1329.94,2804.69,3751573.64,0.008401195,1,0,0,2.0498
1425,2018/1/10 14:00,ETHUSD,1329.94,1338,1286.02,1322.99,3873.12,5091134.59,-0.0052258,-1,0,0,0
1426,2018/1/10 15:00,ETHUSD,1322.99,1351,1315.38,1339.72,4948.79,6623117.48,0.012645598,1,1,0.685820405,0
1427,2018/1/10 16:00,ETHUSD,1339.72,1347.97,1295.01,1314.22,4200.7,5558057.34,-0.019033828,-1,0.752570425,0.871022137,0.9854
1428,2018/1/10 17:00,ETHUSD,1314.22,1339.4,1300.03,1319.71,3993.41,5277959.09,0.004177383,1,-1,-0.337828459,1.8006
1429,2018/1/10 18:00,ETHUSD,1319.71,1325,1271,1282.64,3512.34,4561191.71,-0.028089505,-1,0.566851392,0.509287127,-0.4019
1430,2018/1/10 19:00,ETHUSD,1282.64,1310,1260,1302.87,3057.35,3904259.74,0.015772157,1,-1,-0.163733192,0.8899
1431,2018/1/10 20:00,ETHUSD,1302.87,1306.96,1284.01,1291,2270.72,2947450.71,-0.009110656,-1,0,0,-0.1779
1432,2018/1/10 21:00,ETHUSD,1291,1315.42,1262.75,1265,1883.92,2433217.88,-0.020139427,-1,1,0.292669614,0
1433,2018/1/10 22:00,ETHUSD,1265,1268.87,1201.34,1230.68,6260.54,7691747.05,-0.027130435,-1,0.944104425,0.977411952,0.34
1434,2018/1/10 23:00,ETHUSD,1230.68,1253.93,1187.96,1240.48,2832.24,3444523.45,0.007963077,1,-1,-0.443017764,1.7431
1435,2018/1/11 00:00,ETHUSD,1240.48,1334.33,1240.48,1330,4391.85,5712394.27,0.072165613,1,1,0.900689666,-0.5574
1436,2018/1/11 01:00,ETHUSD,1330,1332.99,1286.06,1292.41,1830.4,2392965.54,-0.028263158,-1,-1,-0.443017764,1.4613
1437,2018/1/11 02:00,ETHUSD,1292.41,1312.38,1285.66,1298.47,1146.8,1494778.51,0.004688915,1,1,0.821100545,-0.5574
1438,2018/1/11 03:00,ETHUSD,1298.47,1298.47,1151.01,1181.32,4988.98,6109546.51,-0.090221568,-1,1,0.364920853,1.273
